id;word;freq
1;null;429
3;author;182
4;research;180
7;articl;167
8;paper;131
17;receiv;90
24;2010;77
25;accept;76
31;issu;63
32;revis;63
37;2012;58
50;januari;47
53;2009;44
77;2011;34
107;april;29
109;key;29
111;analysi;28
112;decemb;28
115;professor;28
118;1;27
148;march;24
159;june;23
160;octob;23
165;2003;22
195;novemb;20
197;septemb;20
215;10;18
216;12;18
217;13;18
220;august;18
227;juli;18
232;2013;17
233;30;17
235;aim;17
238;editori;17
253;2008;16
254;address;16
268;11;15
269;2;15
282;methodolog;15
310;16;13
311;18;13
312;19;13
313;20;13
314;2007;13
315;21;13
316;21st;13
317;4;13
318;5;13
319;9;13
351;3;12
358;copyright;12
360;dr;12
376;15;11
377;7;11
378;8;11
402;2000;10
403;2002;10
404;22;10
436;14;9
437;17;9
438;23;9
16;studi;92
82;result;34
141;februari;24
176;valu;22
189;version;21
194;goal;20
266;offer;16
276;editor;15
297;find;14
325;come;13
332;enabl;13
337;led;13
348;take;13
415;de;10
422;introduc;10
429;respect;10
443;capabl;9
447;consequ;9
450;disclaim;9
468;sector_futures.htm;9
474;2008accept;8
475;2030;8
476;25;8
477;31;8
478;6;8
473;www.emcc.eurofound.eu.int;9
484;basi;8
501;id;8
526;2009revis;7
527;2015;7
528;28;7
596;100;6
597;2001;6
598;2006;6
599;2009accept;6
600;2020;6
601;24;6
602;4.0;6
656;mail;6
657;make;6
660;note;6
684;1968;5
685;2007accept;5
686;2014;5
687;27;5
688;29;5
724;free;5
726;give;5
733;list;5
737;michael;5
755;read;5
758;scholar;5
759;scientist;5
769;student;5
777;twentieth;5
779;understood;5
787;web;5
790;1990s;4
791;1999;4
792;2004;4
793;2005;4
794;2008revis;4
795;2009the;4
796;2017;4
797;26;4
798;50;4
805;allow;4
808;augur;4
809;avail;4
812;book;4
815;chapter;4
833;david;4
850;fp7;4
861;hundr;4
873;la;4
919;robert;4
920;rockefel;4
940;titl;4
958;1993;3
959;1998;3
960;2010accept;3
961;2016;3
962;289058;3
1001;creativecommons.org;3
1036;everyday;3
1078;inayatullah;3
1091;joseph;3
1128;onlin;3
1157;project.org;3
1165;push;3
